date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
9/27/2025,AAPL,USD,320193,10/31/2025,10/31/2025 6:01:26 AM,1/1/2025,FY,4.16161E+11,2.2096E+11,1.95201E+11,34550000000,27601000000,0,27601000000,0,62151000000,2.83111E+11,0,0,0,11698000000,1.44427E+11,1.32729E+11,321000000,1.3305E+11,-321000000,1.32729E+11,20719000000,1.1201E+11,0,0,1.1201E+11,0,1.1201E+11,7.49,7.46,14948500000,15004697000
9/28/2024,AAPL,USD,320193,11/1/2024,11/1/2024 6:01:36 AM,1/1/2024,FY,3.91035E+11,2.10352E+11,1.80683E+11,31370000000,7458000000,18639000000,26097000000,0,57467000000,2.67819E+11,0,0,0,11445000000,1.3493E+11,1.23485E+11,-269000000,1.23216E+11,269000000,1.23485E+11,29749000000,93736000000,0,0,93736000000,0,93736000000,6.11,6.08,15343783000,15408095000
9/30/2023,AAPL,USD,320193,11/3/2023,11/2/2023 6:08:27 PM,1/1/2023,FY,3.83285E+11,2.14137E+11,1.69148E+11,29915000000,0,0,24932000000,0,54847000000,2.68984E+11,-183000000,3750000000,3933000000,11519000000,1.29188E+11,1.17669E+11,-3368000000,1.14301E+11,-565000000,1.13736E+11,16741000000,96995000000,0,0,96995000000,0,96995000000,6.16,6.13,15744231000,15812547000
9/24/2022,AAPL,USD,320193,10/28/2022,10/27/2022 6:01:14 PM,1/1/2022,FY,3.94328E+11,2.23546E+11,1.70782E+11,26251000000,0,0,25094000000,0,51345000000,2.74891E+11,-106000000,2825000000,2931000000,11104000000,1.33138E+11,1.22034E+11,-2597000000,1.19437E+11,-334000000,1.19103E+11,19300000000,99803000000,0,0,99803000000,0,99803000000,6.15,6.11,16215963000,16325819000
9/25/2021,AAPL,USD,320193,10/29/2021,10/28/2021 6:04:28 PM,1/1/2021,FY,3.65817E+11,2.12981E+11,1.52836E+11,21914000000,0,0,21973000000,0,43887000000,2.56868E+11,198000000,2843000000,2645000000,11284000000,1.23136E+11,1.11852E+11,-2903000000,1.08949E+11,258000000,1.09207E+11,14527000000,94680000000,0,0,94680000000,0,94680000000,5.67,5.61,16701272000,16864919000
